paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Source Material::Extracted Value,RHA Processing Method::Extracted Value,RHA Processing Parameters::Extracted Value,Activation Method::Extracted Value,Activation Parameters::Extracted Value,Carbonation Conditions::Extracted Value,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Duration::Extracted Value,Mechanical Activation Method::Extracted Value,Grinding Duration::Extracted Value,Grinding Speed::Extracted Value,Other Activation Conditions::Extracted Value,Water-to-Binder Ratio (w/b)::Extracted Value,Particle Size Distribution::Extracted Value,d10::Extracted Value,d50::Extracted Value,d90::Extracted Value,Mean Particle Size::Extracted Value,Specific Surface Area::Extracted Value,BET Surface Area::Extracted Value,Blaine Fineness::Extracted Value,Water Absorption Capacity::Extracted Value,Specific Gravity::Extracted Value,Bulk Density::Extracted Value,SiO2::Extracted Value,CaO::Extracted Value,Al2O3::Extracted Value,Fe2O3::Extracted Value,MgO::Extracted Value,SO3::Extracted Value,Na2O::Extracted Value,K2O::Extracted Value,Loss on Ignition (LOI)::Extracted Value,Other Reported Oxides::Extracted Value,XRD Phases::Extracted Value,Mineral Composition::Extracted Value,Amorphous Content::Extracted Value,Pozzolanic Reactivity::Extracted Value,Pozzolanic Activity Index::Extracted Value,Strength Activity Index::Extracted Value,Heat Release Data::Extracted Value,Other Reactivity Indicators::Extracted Value,Cement Replacement Level(s)::Extracted Value,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Extracted Value,Compressive Strength::Extracted Value,Relative Compressive Strength (% of control if reported)::Extracted Value,7-Day Heat Release::Extracted Value,Relative Heat Release (% of control if reported)::Extracted Value,Initial Setting Time::Extracted Value,Final Setting Time::Extracted Value,Flexural Strength::Extracted Value,Relative Flexural Strength (% of control if reported)::Extracted Value,Shrinkage::Extracted Value,Relative Shrinkage (% of control if reported)::Extracted Value,Material Type::Unit,Source Material::Unit,RHA Processing Method::Unit,RHA Processing Parameters::Unit,Activation Method::Unit,Activation Parameters::Unit,Carbonation Conditions::Unit,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Unit,Mechanical Activation Method::Unit,Grinding Duration::Unit,Grinding Speed::Unit,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Unit,d10::Unit,d50::Unit,d90::Unit,Mean Particle Size::Unit,Specific Surface Area::Unit,BET Surface Area::Unit,Blaine Fineness::Unit,Water Absorption Capacity::Unit,Specific Gravity::Unit,Bulk Density::Unit,SiO2::Unit,CaO::Unit,Al2O3::Unit,Fe2O3::Unit,MgO::Unit,SO3::Unit,Na2O::Unit,K2O::Unit,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Unit,XRD Phases::Unit,Mineral Composition::Unit,Amorphous Content::Unit,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Unit,Strength Activity Index::Unit,Heat Release Data::Unit,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Unit,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Unit,Final Setting Time::Unit,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Unit
22,Effect of Rice Husk Ash (RHA) as Partial Replacement of Cement on Concrete Properties,C.Marthong,International Journal of Engineering Research & Technology (IJERT),2012,,Rice Husk Ash (RHA),Rice husk,Furnace burning and grinding,Cooled inside furnace for about 24 hours; Grinding using a Los Angeles machine,,,,,,,,,,0.38,5% residue on 90 micron sieve size,,,,,,,,,2.53,,75.0,3.3,1.29,0.78,0.22,,0.4,1.50,3.67,Moisture contents: 2.15 %; MnO: 0.2 %; P2O5: 0.59 %; Total SiO2 + Fe2O3 + Al2O3: 77.58 %,,,,,,,,,"0, 10, 20, 30, 40","10% (by optimum strength performance); Up to 20% (for potential usage, strength and durability); Up to 10% by volume (in conclusions)","33 Grade OPC - 7 Days: 27 (0%), 18 (10%), 14 (20%), 11 (30%), 9 (40%); 28 Days: 38.8 (0%), 32 (10%), 24 (20%), 20 (30%), 17 (40%); 56 Days: 42 (0%), 36 (10%), 30 (20%), 25 (30%), 22 (40%); 90 Days: 44 (0%), 39 (10%), 33 (20%), 29 (30%), 26 (40%);
43 Grade OPC - 7 Days: 29 (0%), 20 (10%), 16 (20%), 14 (30%), 13 (40%); 28 Days: 41 (0%), 34 (10%), 29 (20%), 25 (30%), 23 (40%); 56 Days: 45 (0%), 39 (10%), 34.5 (20%), 31 (30%), 28 (40%); 90 Days: 47 (0%), 42.5 (10%), 38 (20%), 35 (30%), 32 (40%);
53 Grade OPC - 7 Days: 27 (0%), 20 (10%), 16 (20%), 14 (30%), 11 (40%); 28 Days: 39 (0%), 34 (10%), 29 (20%), 25 (30%), 20 (40%); 56 Days: 43 (0%), 39 (10%), 35 (20%), 31 (30%), 26 (40%); 90 Days: 45 (0%), 41.5 (10%), 38 (20%), 33 (30%), 29 (40%)",28 Days (43 & 53 grades): ~60%; 28 Days (33 grade): ~50%; 90 Days (43 & 53 grades): ~75%; 90 Days (33 grade): ~55%,,,"33 Grade OPC: 90 min (0% RHA), 170 min (10% RHA), 190 min (20% RHA), 220 min (30% RHA), 250 min (40% RHA);
43 Grade OPC: 80 min (0% RHA), 140 min (10% RHA), 160 min (20% RHA), 180 min (30% RHA), 220 min (40% RHA);
53 Grade OPC: 70 min (0% RHA), 130 min (10% RHA), 150 min (20% RHA), 165 min (30% RHA), 185 min (40% RHA)","33 Grade OPC: 260 min (0% RHA), 365 min (10% RHA), 400 min (20% RHA), 460 min (30% RHA), 530 min (40% RHA);
43 Grade OPC: 240 min (0% RHA), 350 min (10% RHA), 370 min (20% RHA), 430 min (30% RHA), 480 min (40% RHA);
53 Grade OPC: 230 min (0% RHA), 330 min (10% RHA), 350 min (20% RHA), 395 min (30% RHA), 440 min (40% RHA)",,,The shrinkage of specimens with 40% RHA content measured at the age of 90 days found to be same as that of pure concrete at each proportion.,Same as pure concrete (100% of control),,,,,,,,,,,,,,,%,,,,,,,,,,,%,%,%,%,%,,%,%,%,%,,,,,,,,,%,%,MPa,%,,,Minutes,Minutes,,,,%
23,Utilization Of Rice Husk Ash,"S. D. Nagrale, Dr. Hemant Hajare, Pankaj R. Modak",International Journal of Engineering Research and Applications (IJERA),2012,,Rice Husk Ash (RHA),Rice Husk,Combustion and Grinding,Combustion temperature < 700 °C,Mechanical Activation (Grinding),,,,,Ball or hammer mills grinding,,,,"0.45, 0.50, 0.60",,,,,63.8,,,,,2.11,,62.5-97.6,0.1-1.31,,0.54,0.01-1.96,,0.01-1.58,0.1-2.54,,P2O5: 0.01-2.69; SiO3: 0.1-1.23; Carbon: 2.71-6.42,,Amorphous silica,85%-90%,Highly reactive,,,,,15%,,"7.42 (7d, w/c=0.45); 20.11 (14d, w/c=0.45); 23 (21d, w/c=0.45); 24.5 (28d, w/c=0.45); 7.26 (7d, w/c=0.5); 19.778 (14d, w/c=0.5); 22.5 (21d, w/c=0.5); 23.8 (28d, w/c=0.5); 7.18 (7d, w/c=0.6); 10 (14d, w/c=0.6); 14.05 (21d, w/c=0.6); 18.65 (28d, w/c=0.6)",,,,,,,,,,,,,°C,,,,,,,,,,,,,,,µm,,,,,,,%,%,,%,%,,%,%,,%,,,%,,,,,,%,,N/mm²,,,,,,,,,
24,STRUCTURAL PROPERTIES OF RICE HUSK ASH CONCRETE.,"Godwin A. Akeke, Maurice E. Ephraim, Akobo, I.Z.S and Joseph O. Ukpata.",International Journal of Engineering and Applied Sciences,2013,,Rice Husk Ash (RHA),Rice Husk,Open air and uncontrolled burning process,Burnt for approximately 48hrs; Temperature in the range of 400-600°C; Sieved through BS standard sieve size 75µm; Grey colour,,,,,,,,,,,,,,,,,,,,1.5 - 1.56 (Average: 1.55),20,,,,,,,,,,,,,,,,,,,10; 20; 25,10,"10% replacement: 12 (7 days), 14 (14 days), 18 (21 days), 22 (28 days); 20% replacement: 11 (7 days), 13 (14 days), 18 (21 days), 20 (28 days); 25% replacement: 10 (7 days), 12 (14 days), 14 (21 days), 19 (28 days)",,,,,,10% replacement: 3.0 (28 days); 20% replacement: 2.5 (28 days); 25% replacement: 2.4 (28 days),,,,,,,,,,,,,,,,,,,,,,,,,,,,kg/m³,,,,,,,,,,,,,,,,,,,%,%,N/mm²,,,,,,N/mm²,,,
25,Pozzolanic contribution of rice husk ash in cementitious system,"M. Jamil, A.B.M.A. Kaish, S.N. Raman, M.F.M. Zain",Construction and Building Materials,2013,http://dx.doi.org/10.1016/j.conbuildmat.2013.05.088,Rice husk ash (RHA),Rice husk / Outer shell of rice grain,Combustion / Incineration and grinding,High temperature incineration above 900°C (mentioned in context of phase changes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foreign compounds (Ca+, K+) present in very small percentages",Amorphous / Crystalline,Silica (SiO2),Up to 95% or even 100%,Highly reactive,,,,Molar ratio of SiO2 and Ca(OH)2 (S/CH ratio) = 0.54054,"5, 10, 12, 14.298, 15, 20, 25, 30; (for other cement types/impurities: 11.556, 13.0435, 13.95, 14.683, 14.938, 15.638, 16.407, 17.256, 18.197, 19.246)",14.3 (for 100% amorphous RHA with ASTM Type-I cement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,,,%,%,,,,,,,,,,
26,Experimental Investigations of Performance Characteristics of Rice Husk AshBlended Concrete,A. Muthadhi and S. Kothandaraman,Journal of Materials in Civil Engineering,2013,10.1061/(ASCE)MT.1943-5533.0000656,Rice Husk Ash (RHA),Rice husk,Incinerated in an electrical box furnace followed by fine grinding in a ball mill,Incineration temperature of 500°C for 120 min,Thermal treatment and mechanical activation (grinding),"Incineration temperature: 500°C, Duration: 120 min; Finely ground in a ball mill",,500,120,Fine grinding in a ball mill,,,,"0.30, 0.33, 0.36, 0.44",,,,,< 45,50.1,,,,,,approximately 90,,,,,,,,2.27,Trace elements,Amorphous,Silica and trace elements,Amorphous,High / Maximum pozzolanicity,,,,Accelerates hydration process in wet phase by providing nucleation sites,"10, 15, 20, 30",20,"3-day: 31.4 to 61.7
7-day: 39.6 to 72.0
28-day: 45.5 to 87.0
60-day: 51.8 to 92.0",,,,,,,,,,,,,"°C, min",,"°C, min",,°C,min,,,,,,,,,,µm,m²/g,,,,,,%,,,,,,,,%,,,,,,,,,,%,%,MPa,,,,,,,,,
27,The Effect Of Rice Husk Ash Used As Supplementary Cementing Material On Strength Of Mortar,"Jayanti Rajput, R.K. Yadav, R. Chandak",International Journal of Engineering Research and Applications (IJERA),2013,,Rice Husk Ash (RHA),Rice Husk,Controlled Burning,,,,,,,,,,,,,,,,,,,,,,,83.6,0.84,0.76,0.64,0.40,0.69,,,14.2,Particles retained on 45 micron IS sieves (Wet Sieving): 27.13,,,,,,,,,"5%, 10%, 15%, 20%, 25%, 30%",10%,"0% RHA: 24 (3d), 37 (7d), 50 (28d); 5% RHA: 21 (3d), 37 (7d), 49 (28d); 10% RHA: 22 (3d), 36 (7d), 48 (28d); 15% RHA: 12 (3d), 23 (7d), 33 (28d); 20% RHA: 4 (3d), 9 (7d), 17 (28d); 25% RHA: 1 (3d), 4 (7d), 9 (28d); 30% RHA: 1 (3d), 4 (7d), 6 (28d)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% W/W,% w/w,% w/w,% W/W,% w/w,% W/W,,,% W/W,% Max.,,,,,,,,,% by weight,% by weight,N/mm^2,,,,,,,,,
28,Rice husk ash (RHA) effectiveness in cement and concrete as a function of reactive silica and fineness,"S.K. Antiohos, V.G. Papadakis, S. Tsimas",Cement and Concrete Research,2014,10.1016/j.cemconres.2014.04.001,Rice husk ash (RHA),Rice husks,Burning of rice husks,Burning temperature for RHA12 was slightly lower by approximately 50°C than for RHA8,Mechanical Activation (Grinding),Grinding in a lab ball mill,,,,Ball mill grinding,,,Target Blaine fineness levels of 4000 cm²/g (P level) and 7000 cm²/g (U level),"Mortar: W/C_M = 0.5; Concrete (Cement Replacement): 0.60; Concrete (Aggregate Replacement): 0.50, 0.55",,,,,,,,RHA8-P: 3820; RHA12-P: 3930; RHA8-U: 7000; RHA12-U: 6550,,,,RHA8: 89.47; RHA12: 93.15,RHA8: 1.10; RHA12: 0.89,RHA8: 0.18; RHA12: 0.13,RHA8: 0.25; RHA12: 0.18,RHA8: 0.44; RHA12: 0.40,RHA8: 0.11; RHA12: 0.10,RHA8: 620.00; RHA12: 160.00,RHA8: 1.32; RHA12: 1.63,RHA8: 4.06; RHA12: 5.61,"Moisture: RHA8 0.01, RHA12 0.01 (% by mass); P2O5: RHA8 0.74, RHA12 0.51 (% by mass); Cl: RHA8 910.00, RHA12 410.00 (ppm)","Cristobalite, SiO2",Cristobalite,"Glass phase: RHA8 58.67, RHA12 63.71; Amorphous silica: RHA12 increased by approximately 7% over RHA8","Reactive SiO2: RHA8 52.38%, RHA12 59.15%; Fratini test: system 10RHA8 above saturation curve, all other ground systems below saturation curve",,,,"Active ratio (ys): RHA8 58.57%, RHA12 63.50%; Fixed Lime (28d, 20% rep, P-level): 26.6%; Reacted fraction at 90d: >50% (>0.50); Concrete Efficiency Factor k-value (28d): 0.7 (RHA8), 0.8 (RHA12)","Mortar: 10%, 20%, 30%; Concrete: 10%, 20%",1015% by cement weight,"Mortar (P-level):
 RHA8-10%: 2d: 22.0, 7d: 34.6, 28d: 47.8, 90d: 57.9
 RHA8-20%: 2d: 18.9, 7d: 31.8, 28d: 40.8, 90d: 55.7
 RHA8-30%: 2d: 14.9, 7d: 24.8, 28d: 39.7, 90d: 48.1
 RHA12-10%: 2d: 21.0, 7d: 33.8, 28d: 44.4, 90d: 58.5
 RHA12-20%: 2d: 18.8, 7d: 31.3, 28d: 44.7, 90d: 57.2
 RHA12-30%: 2d: 15.5, 7d: 25.3, 28d: 39.8, 90d: 48.5
Mortar (U-level):
 RHA8_U-10%: 2d: 20.5, 7d: 36.4, 28d: 50.7
 RHA8_U-20%: 2d: 18.9, 7d: 32.3, 28d: 49.5
 RHA8_U-30%: 2d: 16.1, 7d: 28.3, 28d: 47.3
 RHA12_U-10%: 2d: 22.8, 7d: 38.2, 28d: 53.8
 RHA12_U-20%: 2d: 19.8, 7d: 33.6, 28d: 51.4
 RHA12_U-30%: 2d: 17.1, 7d: 30.1, 28d: 48.8",,,,,,,,,,,,,°C,,,,,,,,,cm²/g,,,,,,,,,cm²/g,,,,% by mass,% by mass,% by mass,ppm,% by mass,% by mass,ppm,% by mass,% by mass,% by mass / ppm,,,%,% / -,,,,% / dimensionless,%,%,MPa,%,,,,,,,,
29,Effect of Rice Husk Ash on Properties of Concrete,"Makarand Suresh Kulkarni, Paresh GovindMirgal, Prajyot Prakash Bodhale, S.N. Tande",Journal of Civil Engineering and Environmental Technology,2014,,Rice Husk Ash (RHA) / R.H.A. / Silpoz,Residual RHA obtained from open field burning; Trade name Silpoz,"Open field burning, drying, homogenization, and grinding in a laboratory ball mill","Dried, homogenized; ground in a laboratory ball mill for 1 hour",Mechanical Activation (Grinding),Grinding in a laboratory ball mill for 1 hour,,,,Grinding in a laboratory ball mill,1,,,0.45,< 45,,,,,,,,,2.3,,86.94,03.-2.2,0.2,0.1,0.2-0.6,,0.1-0.8,2.15-2.30,3.15-4.4,,,Non Crystalline,,,,,,,"0, 10, 20, 30",20,"7 days: M0 = 27.2, M1 = 27.8, M2 = 28.3, M3 = 27.4;
28 days: M0 = 37, M1 = 42.8, M2 = 39.8, M3 = 37","7 days: M0 = 0, M1 = 2, M2 = 4, M3 = 0.73;
28 days: M0 = 0, M1 = 15.67, M2 = 7.56, M3 = 0",,,,,,,,,,,,,,,,,,,hour,,,,micron,,,,,,,,,,,%,%,%,%,%,,%,%,%,,,,,,,,,,%,%,N/mm^2,%,,,,,,,,
30,USE OF RICE HUSK ASH AS PARTIAL REPLACEMENT FOR CEMENT IN CONCRETE,"OBILADE, I.O.",International Journal of Engineering and Applied Sciences,2014,,Rice Husk Ash (RHA),Rice Husk,"Burnt under guided or enclosed place, ground, and sieved",Sieved through 600 ?m sieve,Grinding,,,,,Grinding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0, 5, 10, 15, 20, 25",0-20,"7 days: 17.51 (0%), 16.88 (5%), 12.01 (10%), 11.24 (15%), 10.86 (20%), 7.95 (25%); 14 days: 21.60 (0%), 17.44 (5%), 12.83 (10%), 12.55 (15%), 11.51 (20%), 8.98 (25%); 28 days: 29.15 (0%), 27.68 (5%), 20.88 (10%), 18.70 (15%), 18.59 (20%), 13.29 (25%)",,,,,,,,,,,,,?m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,N/mm²,,,,,,,,,
31,Use of Rice Husk Ash as Partial Replacement with Cement In Concrete- A Review,"Sourav Ghosal, S.C.Moulik",International Journal of Engineering Research,2015,,"Rice Husk Ash (RHA), rice husk ash",Rice husk,Combustion / Burning,Burning temperature between 600°C-700°C for 2 hours,Thermal Treatment,600°C-700°C for 2 hours,,600°C-700°C,2,Grounding / Grinding,,,,,,,,,,50-1000,,,,,,90-95 (or 90-96),,,,,,,1-3,,Unburnt carbon: <5,Amorphous materials / Amorphous silica,,Amorphous form / Mainly consists of amorphous materials,Good pozzolanic material,,,Reduces heat evolution,Capacity of the pozzolana towards fixing Ca(OH)2 generated during hydration,"7, 10, 15, 20",,"15.2-31.3 (7 days), 18.1-37.5 (28 days), 17-26 (7 days)","115 (7% RHA replacement), 170-180 (up to 20% replacement)",,,,,,,Decreases with increase in RHA percentage,,,,,,,,,°C,hours,,,,,,,,,,,m²/g,,,,,,%,,,,,,,%,,%,,,,,,,,,%,,MPa,%,,,,,,,,
32,Use of Rice Husk Ash in Concrete: A Review,"Mr. Amitkumar I. Gupta, Dr. Abhay S. Wayal",IOSR Journal of Mechanical and Civil Engineering (IOSR-JMCE),2015,10.9790/1684-12412931,"Rice Husk Ash (RHA), rice husk ash, RHA, controlled combustion (CRHA), partially crystalline RHA (RRHA)","Rice husk, Rice hulls","Controlled incineration, controlled combustion, dry milling",,Dry milling,,,,,Dry milling,,,,0.50,,,,,,,,,,,,"86.81, 91.00, 95.04, 90.90, 87.40, 87.32","1.04, NULL, 1.25, 0.80, 0.90, 0.48","0.50, 0.35, 0.30, 0.80, 0.40, 0.22","0.87, 0.41, 0.44, 0.60, 0.30, 0.28","0.85, 0.81, 0.45, 0.56, 0.60, 0.28","NULL, 1.21, 0.01, NULL, 0.40, NULL","0.69, 0.08, 0.09, NULL, NULL, 1.02","3.16, 3.21, 1.40, 1.55, 0.04, 3.14","4.60, 8.50, 0.51, NULL, 3.39, 4.60",,Opaline silica,,"Amorphous, partially crystalline","Active pozzolana, highly reactive pozzolana",,,,Reacts intensively with water and calcium hydroxide,"5 to 30, 10, 15, 20, 30","10 to 20 (overall); 10 (H. Thanh Le et al. 2014, H. Chao-Lung et al. 2011); 15 (Rodriguez de Sensale 2010); 20 (A. Muthadhi et al. 2013, Ganesan et al. 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,,,,,,,,,,%,%,,,,,,,,,,
33,Study on Effect of Natural and Ground Rice-Husk Ash Concrete,V. Ponmalar and R. Albert Abraham,KSCE Journal of Civil Engineering,2015,10.1007/s12205-014-2019-4,Natural Rice Husk Ash (NRHA) and Ground Rice Husk Ash (GRHA),Rice-husk residue / Paddy rice husk,"Boiler-fired, industrial furnace thermal burning, and grinding / pulverizing","Thermal burning temperature: 650°C, Duration: 1 hour",Thermal activation (burning) and Mechanical activation (grinding/pulverizing),Burning at 650°C for 1 hour; Pulverized to pass 45 µm sieve completely,,650,1,Pulverizing / Grinding,,,,0.5,"Passing 45 µm: 60% (NRHA), 100% (GRHA); Passing 20 µm: 40% (NRHA), 80% (GRHA); Passing 10 µm: 20% (NRHA), 45% (GRHA); Passing 5 µm: 7% (NRHA), 27% (GRHA)",,,,240 x 140 (for Natural RHA),,,,,1.4 (Natural RHA); 0.45 (Ground RHA),,63.38 (Natural RHA); 92.26 (Ground RHA),0.10 (Natural RHA); 0.90 (Ground RHA),2.70 (Natural RHA); 3.70 (Ground RHA),0.32 (Natural RHA); 0.29 (Ground RHA),0.97 (Natural RHA); 0.95 (Ground RHA),,,0.12 (Natural RHA); 0.11 (Ground RHA),,"Reactive silica: 60.30 (Natural RHA), 90.32 (Ground RHA)",Amorphous crystal structure with 100% intensity peak at 21.84° theta,Amorphous silica,Amorphous in nature,High reactive pozzolan,,,,Rapidly consuming calcium hydroxide,"10, 15, 20",10 (for Natural RHA); 15 (for Ground RHA),GRHA-10 (28 days): 39.2,NRHA-10 (28 days): 104.3% (+4.3% improvement); GRHA-10 (28 days): 107.4% (+7.4% improvement); GRHA-15 (28 days): 111.4% (+11.4% improvement),,,,,,,,,,,,"°C, hour",,"°C, hour, %",,°C,hour,,,,,,%,,,,µm,,,,,,,%,%,%,%,%,,,%,,%,°Theta,,,,,,,,%,%,MPa,%,,,,,,,,
34,Experimental investigation on rice husk ash as cement replacement on concrete production,"Josephin Alex, J. Dhanalakshmi, B. Ambedkar",Construction and Building Materials,2016,http://dx.doi.org/10.1016/j.conbuildmat.2016.09.150,Rice husk ash (RHA),Rice husk,Uncontrolled combustion,40 kg of RHA obtained from 200 kg of rice husk,Mechanical activation (grinding),Grinding in a ball mill,,,,Ball mill grinding,"0, 15, 60",,,0.45,Shown in Figs. 2-4,,,,"RHA-A: 174.36 (0 min), 103.31 (15 min), 39.94 (60 min); RHA-B: 168.65 (0 min), 106.89 (15 min), 45.56 (60 min); RHA-C: 214.92 (0 min), 115.22 (15 min), 55.66 (60 min)","RHA-A: 25.86 (0 min), 41.52 (15 min), 109.38 (60 min); RHA-B: 25.68 (0 min), 42.66 (15 min), 96.67 (60 min); RHA-C: 20.15 (0 min), 37.52 (15 min), 77.67 (60 min)",,,,RHA-A: 2.11 ± 0.03; RHA-B: 2.10 ± 0.11; RHA-C: 2.14 ± 0.06,"RHA-A: 0.32 (0 min), 0.59 (15 min), 0.65 (60 min); RHA-B: 0.31 (0 min), 0.57 (15 min), 0.62 (60 min); RHA-C: 0.28 (0 min), 0.55 (15 min), 0.62 (60 min)","RHA-A: 60.17 (Unground), 59.7 (15 min), 60.68 (60 min); RHA-B: 57.96; RHA-C: 54.08",,"RHA-A: 0.6 (Unground), 0.06 (15 min), 0.02 (60 min); RHA-B: 0.44; RHA-C: 0.54","RHA-A: 0.55 (Unground), 0.56 (15 min), 0.1 (60 min); RHA-B: 0.49; RHA-C: 0.48",,,,"RHA-A: 0.39 (Unground), 0.58 (15 min), 0.44 (60 min); RHA-B: 0.65; RHA-C: 0.68",RHA-A: 2.26 ± 0.06; RHA-B: 2.23 ± 0.13; RHA-C: 2.46 ± 0.04,"Carbon (C): RHA-A: 3.28 (Unground), 3.86 (15 min), 3.64 (60 min); RHA-B: 4.01; RHA-C: 4.84. Oxygen (O): RHA-A: 35.01 (Unground), 35.24 (15 min), 35.12 (60 min); RHA-B: 36.45; RHA-C: 39.38",,Amorphous in nature,Amorphous,Chapelle activity: 622.96 to 1085.46,,,,,"10, 15, 20",20,"Mix 1: 28.5, Mix 2: 28.1, Mix 3: 27.5, Mix 4: 26.2, Mix 5: 26.5, Mix 6: 25.8, Mix 7: 23.5, Mix 8: 24.1, Mix 9: 23.2, Mix 10: 21.0, Mix 11: 20.8, Mix 12: 20.2, Mix 13: 26.8, Mix 14: 26.5, Mix 15: 26.3, Mix 16: 28.1, Mix 17: 28.5, Mix 18: 27.9, Mix 19: 20.5, Mix 20: 20.2, Mix 21: 19.8, Mix 22: 25.2, Mix 23: 25.5, Mix 24: 24.8, Mix 25: 29.8, Mix 26: 29.4, Mix 27: 29.2","7-day 10 wt% replacement: A-U (112.89%), B-U (113.92%), C-U (110.31%); 7-day 15 wt% replacement: A-60 (106.51%), B-60 (107.22%), C-60 (104.9%); 14-day 10 wt% replacement: A-15 (108.27%), B-15 (106.89%), C-15 (106.27%); 28-day 10 wt% replacement: A-60 (106.77%), B-60 (105.33%), C-60 (104.61%)",,,,,,,,,,,,,,,,,,,min,,,,,,,,µm,m²/kg,,,,,g/cc,wt%,,wt%,wt%,,,,wt%,%,wt%,,,,mg Ca(OH)2/g RHA,,,,,wt%,wt%,N/mm²,%,,,,,,,,
35,Study on concrete with partial replacement of cement by rice husk ash,"N Kaarthik Krishna, S Sandeep, K M Mini",IOP Conference Series: Materials Science and Engineering,2016,10.1088/1757-899X/149/1/012109,Rice Husk Ash (RHA),Rice Husk,,,,,,,,,,,,0.55,,,,,,,,,,1.95,530,79.84,0.55,0.14,1.16,0.19,,0.08,2.90,,Carbon (C): 7.75,,,,,,,,,"5, 10, 15, 20",10,7-day (5% RHA): 14.3; 7-day (10% RHA): 15.6; 7-day (15% RHA): 12.9; 7-day (20% RHA): 11.5; 14-day (5% RHA): 18.4; 14-day (10% RHA): 19.5; 14-day (15% RHA): 15.9; 14-day (20% RHA): 12.4; 28-day (0% RHA): 27; 28-day (5% RHA): 24.8; 28-day (10% RHA): 29.3; 28-day (15% RHA): 17.6; 28-day (20% RHA): 16.03,5% RHA: -8.15%; 10% RHA: -8.51% [Note: text states +8.51% enhancement]; 15% RHA: -34.81%; 20% RHA: -40.62%,,,0% RHA: 55; 5% RHA: 41; 10% RHA: 32; 15% RHA: 29; 20% RHA: 24,0% RHA: 141; 5% RHA: 136; 10% RHA: 130; 15% RHA: 125; 20% RHA: 118,28-day (0% RHA): 2.11; 28-day (10% RHA): 2.53; 28-day (15% RHA): 1.94,10% RHA: 19.9%; 15% RHA: -8.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,kg/m³,%,%,%,%,%,,%,%,,%,,,,,,,,,%,%,N/mm²,%,,,min,min,N/mm²,%,,
36,Analysis of the effects of rice husk ash on the hydration of cementitious materials,"Ki-Bong Park, Seung-Jun Kwon, Xiao-Yong Wang",Construction and Building Materials,2016,http://dx.doi.org/10.1016/j.conbuildmat.2015.12.086,Rice husk ash (RHA),Rice husk,Burning in a drum incinerator and grinding in a vibration ball mill,Burned in PCSIR drum incinerator; ground in a vibration ball mill for 45 min,Mechanical activation (Grinding),Ground in a vibration ball mill for 45 min,,,,Vibration ball mill,45,,,"0.18, 0.25, 0.40",,,,,7.3 (for w/b 0.25 and 0.4); 5.6 (for w/b 0.18),,,,,2.10,,87.96,1.14,0.30,0.52,,0.47,,3.29,3.81,,Amorphous silica,Amorphous SiO2,"80, 85, 90 (used in simulation study: ?s = 0.8, 0.85, 0.9)",Highly reactive pozzolanic material,,,,"Reaction degree of RHA (?RHA) at 2500 hours: ~0.42 (w/b 0.4, 20% RHA), ~0.36 (w/b 0.25, 20% RHA), ~0.21 (w/b 0.18, 20% RHA)","0%, 10%, 20%",,"w/b 0.18 (0% RHA): ~125 MPa (1d), ~135 MPa (3d), ~160 MPa (28d), ~172 MPa (91d); w/b 0.18 (10% RHA): ~135 MPa (1d), ~152 MPa (3d), ~165 MPa (28d), ~178 MPa (91d); w/b 0.18 (20% RHA): ~120 MPa (1d), ~141 MPa (3d), ~175 MPa (28d), ~186 MPa (91d)",,,,,,,,,,Unitless,Unitless,Unitless,Unitless,Unitless,Unitless,,,,Unitless,min,,,Unitless,,,,,?m,,,,,g/cm³,,% by weight,% by weight,% by weight,% by weight,,% by weight,,% by weight,% by weight,,Unitless,Unitless,%,Unitless,,,,Unitless,% by weight,,MPa,,,,,,,,,
