paper_id,Paper Title,Mix ID,Replacement Level,Activation Method,Key Processing Parameters,Reported Strength
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,RPC2-10%,10%,,"2nd generation RP, particle size < 150 µm",~35.5 MPa (Graph-derived)
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,RPC2-20%,20%,,"2nd generation RP, particle size < 150 µm",~32.5 MPa (Graph-derived)
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,RPC2-30%,30%,,"2nd generation RP, particle size < 150 µm",~26.0 MPa (Graph-derived)
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,RPC3-10%,10%,,"3rd generation RP, particle size < 150 µm",~34.0 MPa (Graph-derived)
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,RPC3-20%,20%,,"3rd generation RP, particle size < 150 µm",~31.5 MPa (Graph-derived)
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,RPC3-30%,30%,,"3rd generation RP, particle size < 150 µm",~26.2 MPa (Graph-derived)
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement",0% RFP (Table 4 / Fig 11),0%,,Ground to median particle size 22.7 µm (cement benchmark),"Flexural: 5.4 MPa (3d), 7.3 MPa (7d), 8.6 MPa (28d)
* Compressive: 21.0 MPa (3d), 35.1 MPa (7d), 43.9 MPa (28d)"
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement",10% RFP (Table 4 / Fig 11),10%,Mechanical Activation (Ball milling),Ball milled for 60 min to median size 22.7 µm,"Flexural: 5.7 MPa (3d), 6.6 MPa (7d), 7.3 MPa (28d)
* Compressive: 24.7 MPa (3d), 32.8 MPa (7d), 43.5 MPa (28d)"
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement",30% RFP (Table 4 / Fig 11),30%,Mechanical Activation (Ball milling),Ball milled for 60 min to median size 22.7 µm,"Flexural: 4.5 MPa (3d), 4.7 MPa (7d), 6.7 MPa (28d)
* Compressive: 19.1 MPa (3d), 24.0 MPa (7d), 33.3 MPa (28d)"
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement",50% RFP (Table 4 / Fig 11),50%,Mechanical Activation (Ball milling),Ball milled for 60 min to median size 22.7 µm,"Flexural: 3.5 MPa (3d), 3.6 MPa (7d), 5.4 MPa (28d)
* Compressive: 11.5 MPa (3d), 15.2 MPa (7d), 20.5 MPa (28d)"
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement",70% RFP (Fig 9 / Table 5),70%,Mechanical Activation (Ball milling),Ball milled for 60 min to median size 22.7 µm,
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement",90% RFP (Fig 9 / Table 5),90%,Mechanical Activation (Ball milling),Ball milled for 60 min to median size 22.7 µm,
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,0% Control,0%,,No RMP added,"7d Compressive Strength: ~29.1 MPa;
28d Compressive Strength: ~33.6 MPa (GRAPH-DERIVED)"
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,15% (8:2),15%,Mechanical activation,"Mass ratio of RBP:RCP = 8:2; RBP ground 10 min, RCP ground 30 min","7d Compressive Strength: ~25.7 MPa;
28d Compressive Strength: ~30.5 MPa (GRAPH-DERIVED)"
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,15% (6:4),15%,Mechanical activation,"Mass ratio of RBP:RCP = 6:4; RBP ground 10 min, RCP ground 30 min","7d Compressive Strength: ~27.4 MPa;
28d Compressive Strength: ~35.0 MPa (GRAPH-DERIVED)"
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,30% (8:2),30%,Mechanical activation,"Mass ratio of RBP:RCP = 8:2; RBP ground 10 min, RCP ground 30 min","7d Compressive Strength: ~20.0 MPa;
28d Compressive Strength: ~27.0 MPa (GRAPH-DERIVED)"
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,30% (6:4),30%,Mechanical activation,"Mass ratio of RBP:RCP = 6:4; RBP ground 10 min, RCP ground 30 min","7d Compressive Strength: ~22.5 MPa;
28d Compressive Strength: ~28.2 MPa (GRAPH-DERIVED)"
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,45% (8:2),45%,Mechanical activation,"Mass ratio of RBP:RCP = 8:2; RBP ground 10 min, RCP ground 30 min","7d Compressive Strength: ~19.2 MPa;
28d Compressive Strength: ~21.2 MPa (GRAPH-DERIVED)"
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,45% (6:4),45%,Mechanical activation,"Mass ratio of RBP:RCP = 6:4; RBP ground 10 min, RCP ground 30 min","7d Compressive Strength: ~20.3 MPa;
28d Compressive Strength: ~24.2 MPa (GRAPH-DERIVED)"
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O100-W0,0%,,Water/binder ratio: 0.60,39.7 MPa
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O85-W15,15%,,Water/binder ratio: 0.60,34.6 MPa
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O70-W30,30%,,Water/binder ratio: 0.60,26.8 MPa
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O60-W40,40%,,Water/binder ratio: 0.60,20.1 MPa
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O40-W60,60%,,Water/binder ratio: 0.60,15.8 MPa
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O25-W75,75%,,Water/binder ratio: 0.60,5.8 MPa
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,O0-W100,100%,,Water/binder ratio: 0.60,1.6 MPa
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,Control,0%,,w/b = 0.5,39.17 MPa
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,5%RCF (Untreated),5%,,w/b = 0.5,Graph-derived (~91.2% of Control)
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,5%RCF (0.1%–1% TA),5%,Tannic Acid Treatment,0.1% to 1.0% TA concentration,Graph-derived (~96% to 101.4% of Control)
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,10%RCF (Untreated),10%,,w/b = 0.5,Graph-derived (100% of untreated base level / lower than control)
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,10%RCF (0.1% TA),10%,Tannic Acid Treatment,0.1% TA concentration,112.2% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,10%RCF (0.3% TA),10%,Tannic Acid Treatment,0.3% TA concentration,125.6% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,10%RCF (0.5% TA),10%,Tannic Acid Treatment,0.5% TA concentration,126.3% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,10%RCF (0.75% TA),10%,Tannic Acid Treatment,0.75% TA concentration,117.3% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,10%RCF (1.0% TA),10%,Tannic Acid Treatment,1.0% TA concentration,113.1% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,15%RCF (Untreated),15%,,w/b = 0.5,Graph-derived (100% of untreated base level)
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,15%RCF (0.1% TA),15%,Tannic Acid Treatment,0.1% TA concentration,114.7% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,15%RCF (0.3% TA),15%,Tannic Acid Treatment,0.3% TA concentration,121.2% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,15%RCF (0.5% TA),15%,Tannic Acid Treatment,0.5% TA concentration,126.5% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,15%RCF (0.75% TA),15%,Tannic Acid Treatment,0.75% TA concentration,126.3% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,15%RCF (1.0% TA),15%,Tannic Acid Treatment,1.0% TA concentration,118.2% of untreated RCF mortar
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,20%RCF (Untreated),20%,,w/b = 0.5,Graph-derived (~92.9% of untreated base level)
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,20%RCF (0.1%–1% TA),20%,Tannic Acid Treatment,0.1% to 1.0% TA concentration,Graph-derived (~104.3% to 110.5% of untreated RCF mortar)
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,Pure cement paste,0%,,Baseline mix design,100% SAI at all ages
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,CRCF-20°C,20%,Carbonation at 20°C,"20% CO2, 30 min duration",~78.5% SAI at 28 days
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,CRCF-60°C,20%,Carbonation at 60°C,"20% CO2, 30 min duration",88.9% SAI at 28 days
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,CRCF-100°C,20%,Carbonation at 100°C,"20% CO2, 30 min duration",97.9% SAI at 28 days
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,CRCF-140°C,20%,Carbonation at 140°C,"20% CO2, 30 min duration",95.6% SAI at 28 days
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-0RPP,0%,,w/b = 0.50,100% (Control baseline)
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-7.5RPP,7.5%,,"w/b = 0.50, fine powder",2.6% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-15RPP,15%,,"w/b = 0.50, fine powder",
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-30RPP,30%,,"w/b = 0.50, fine powder",
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-45RPP,45%,,"w/b = 0.50, fine powder",40.1% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-0RMP,0%,,w/b = 0.50,100% (Control baseline)
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-7.5RMP,7.5%,,"w/b = 0.50, fine powder",2.6% higher than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-15RMP,15%,,"w/b = 0.50, fine powder",2.3% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-30RMP,30%,,"w/b = 0.50, fine powder",21.1% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-45RMP,45%,,"w/b = 0.50, fine powder",38.1% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-0RCP,0%,,w/b = 0.50,100% (Control baseline)
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-7.5RCP,7.5%,,"w/b = 0.50, fine powder",0.8% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-15RCP,15%,,"w/b = 0.50, fine powder",6.2% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-30RCP,30%,,"w/b = 0.50, fine powder",22.2% lower than plain
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,M-45RCP,45%,,"w/b = 0.50, fine powder",37.9% lower than plain
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,NFC-1,0%,,w/b = 0.6,~2.04 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC10-1,10%,,w/b = 0.6,~1.67 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC20-1,20%,,w/b = 0.6,~1.50 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC30-1,30%,,w/b = 0.6,~1.32 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC40-1,40%,,w/b = 0.6,~0.88 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,NFC-II,0%,,w/b = 0.6,~1.90 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC10-II,10%,,w/b = 0.6,~1.50 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC20-11,20%,,w/b = 0.6,~1.30 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC30-II,30%,,w/b = 0.6,~1.20 MPa (GRAPH-DERIVED)
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,RPFC40-II,40%,,w/b = 0.6,~0.76 MPa (GRAPH-DERIVED)
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,NAC,0%,,No RP processing,"fcu: 67.6 MPa, fst: 3.63 MPa"
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,FCRAC,0%,,No RP processing,"fcu: 64.6 MPa, fst: 2.71 MPa"
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,FFRAC,0%,,No RP processing,"fcu: 57.9 MPa, fst: 2.83 MPa"
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,FRAC,0%,,No RP processing,"fcu: 58.3 MPa, fst: 2.22 MPa"
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,FRAC-10,10%,Mechanical activation,Grinding time: 30 min in ball mill,"fcu: 58.4 MPa, fst: 2.19 MPa"
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,FRAC-20,20%,Mechanical activation,Grinding time: 30 min in ball mill,"fcu: 56.9 MPa, fst: 2.08 MPa"
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,FRAC-30,30%,Mechanical activation,Grinding time: 30 min in ball mill,"fcu: 52.7 MPa, fst: 1.95 MPa"
44,Influence of fine recycled concrete aggregates use on the hydration kinetics and mechanical-microstructural properties of hydrated cement: Experimental and numerical approaches,Mref,0% vol (0% wt.),,Water/Binder ratio = 0.40,"7d: ~82 MPa, 28d: ~88 MPa, 56d: ~92 MPa (GRAPH-DERIVED)"
44,Influence of fine recycled concrete aggregates use on the hydration kinetics and mechanical-microstructural properties of hydrated cement: Experimental and numerical approaches,MSF 10 / MSF10,10% vol (7.6% wt.),,"Water/Binder ratio = 0.41, Sieve size < 45 µm, Drying @ 40°C","7d: ~74 MPa, 28d: ~89 MPa, 56d: ~92 MPa (GRAPH-DERIVED)"
44,Influence of fine recycled concrete aggregates use on the hydration kinetics and mechanical-microstructural properties of hydrated cement: Experimental and numerical approaches,MSF 20 / MSF20,20% vol (15.6% wt.),,"Water/Binder ratio = 0.42, Sieve size < 45 µm, Drying @ 40°C","7d: ~54 MPa, 28d: ~71 MPa, 56d: ~74 MPa (GRAPH-DERIVED)"
44,Influence of fine recycled concrete aggregates use on the hydration kinetics and mechanical-microstructural properties of hydrated cement: Experimental and numerical approaches,MSF 30 / MSF30,30% vol (24.1% wt.),,"Water/Binder ratio = 0.43, Sieve size < 45 µm, Drying @ 40°C","7d: ~51 MPa, 28d: ~59 MPa, 56d: ~65 MPa (GRAPH-DERIVED)"
45,The utilization of recycled concrete powder as supplementary cementitious material in cement-based materials: A systematic literature review,RCP-Control / Literature Review Matrix,,,Systematic Literature Review of 103 compiled articles analyzing RCP as SCM,
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,RGP0,0%,,RMP replacement for sand,42.3 MPa / 14.56 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,RGP10,10%,,RGP particle size: 0-75 µm,42.2 MPa / 14.02 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,RGP20,20%,,RGP particle size: 0-75 µm,36.7 MPa / 12.40 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,RGP30,30%,,RGP particle size: 0-75 µm,32.4 MPa / 11.24 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,Fibre1.25,30%,,PE Fibre: 1.25 vol%,29.3 MPa / 9.09 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,Fibre1.5,30%,,PE Fibre: 1.5 vol%,31.2 MPa / 9.95 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,Fibre1.75,30%,,PE Fibre: 1.75 vol%,33.4 MPa / 10.96 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,FibreL6,30%,,PE Fibre length: 6 mm,28.6 MPa / 9.90 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,FibreL12,30%,,PE Fibre length: 12 mm,31.1 MPa / 9.92 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,PS150,30%,,RGP particle size: 75-150 µm,29.4 MPa / 9.61 MPa
46,Mechanical properties evaluation of sustainable engineered cementitious composites containing recycled fine powders,PS 300,30%,,RGP particle size: 150-300 µm,26.6 MPa / 7.64 MPa
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,REF,0%,,"Cement: 450 g, Sand: 1350 g, Water: 225 g, w/b: 0.5","Flexural Strength (MPa): 1d=2.7, 3d=5.2, 7d=7.1, 28d=7.6, 56d=8.2; Compressive Strength (MPa): 1d=11.2, 3d=30.7, 7d=43.1, 28d=62.5, 56d=75.5"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,RCP15,15%,,"Cement: 382.5 g, RCP: 67.5 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Crushed by jaw crusher and sieved passing 63 µm","Flexural Strength (MPa): 1d=2.4, 3d=4.5, 7d=6.0, 28d=6.6, 56d=7.4; Compressive Strength (MPa): 1d=9.0, 3d=23.3, 7d=35.5, 28d=48.0, 56d=59.0"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,RCP30,30%,,"Cement: 315 g, RCP: 135 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Crushed by jaw crusher and sieved passing 63 µm","Flexural Strength (MPa): 1d=1.7, 3d=3.7, 7d=5.0, 28d=6.4, 56d=6.2; Compressive Strength (MPa): 1d=6.3, 3d=17.7, 7d=27.3, 28d=35.5, 56d=42.7"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,RCP45,45%,,"Cement: 247.5 g, RCP: 202.5 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Crushed by jaw crusher and sieved passing 63 µm","Flexural Strength (MPa): 1d=1.1, 3d=2.5, 7d=3.5, 28d=4.2, 56d=5.5; Compressive Strength (MPa): 1d=3.5, 3d=9.7, 7d=16.2, 28d=19.8, 56d=34.0"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,WPP-C15,15%,,"Cement: 382.5 g, WPP-C: 67.5 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Collected from cyclone dust","Flexural Strength (MPa): 1d=2.6, 3d=4.4, 7d=5.6, 28d=6.5, 56d=8.0; Compressive Strength (MPa): 1d=9.5, 3d=22.8, 7d=33.8, 28d=47.5, 56d=62.8"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,WPP-C30,30%,,"Cement: 315 g, WPP-C: 135 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Collected from cyclone dust","Flexural Strength (MPa): 1d=1.8, 3d=3.7, 7d=4.8, 28d=5.6, 56d=7.1; Compressive Strength (MPa): 1d=6.7, 3d=18.0, 7d=25.3, 28d=33.5, 56d=45.5"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,WPP-C45,45%,,"Cement: 247.5 g, WPP-C: 202.5 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Collected from cyclone dust","Flexural Strength (MPa): 1d=1.1, 3d=2.3, 7d=2.8, 28d=3.5, 56d=5.0; Compressive Strength (MPa): 1d=3.6, 3d=9.4, 7d=10.8, 28d=17.0, 56d=25.5"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,WPP-SZ15,15%,,"Cement: 382.5 g, WPP-SZ: 67.5 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Collected from baghouse","Flexural Strength (MPa): 1d=2.6, 3d=5.0, 7d=5.5, 28d=7.6, 56d=8.2; Compressive Strength (MPa): 1d=10.5, 3d=28.8, 7d=37.5, 28d=52.0, 56d=64.8"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,WPP-SZ30,30%,,"Cement: 315 g, WPP-SZ: 135 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Collected from baghouse","Flexural Strength (MPa): 1d=2.0, 3d=4.2, 7d=4.8, 28d=6.0, 56d=8.0; Compressive Strength (MPa): 1d=8.5, 3d=22.0, 7d=27.0, 28d=43.0, 56d=58.0"
47,Investigation of Waste Perlite and Recycled Concrete Powders as Supplementary Cementitious Materials,WPP-SZ45,45%,,"Cement: 247.5 g, WPP-SZ: 202.5 g, Sand: 1350 g, Water: 225 g, w/b: 0.5; Collected from baghouse","Flexural Strength (MPa): 1d=1.4, 3d=3.1, 7d=3.5, 28d=5.2, 56d=6.8; Compressive Strength (MPa): 1d=5.2, 3d=13.8, 7d=17.0, 28d=30.0, 56d=41.8"
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,C0,0 vol.% / 0 wt.%,,,24 h Flexural: ~3.8 MPa; 24 h Compressive: ~14.5 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RCP10,10 vol.% / 8.2 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.15 mm",24 h Flexural: ~3.4 MPa; 24 h Compressive: ~12.3 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RCP20,20 vol.% / 16.5 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.15 mm",24 h Flexural: ~3.2 MPa; 24 h Compressive: ~11.2 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RCP30,30 vol.% / 24.7 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.15 mm",24 h Flexural: ~2.8 MPa; 24 h Compressive: ~9.8 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RMP10,10 vol.% / 8.2 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.075 mm",24 h Flexural: ~3.5 MPa; 24 h Compressive: ~12.5 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RMP20,20 vol.% / 16.5 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.075 mm",24 h Flexural: ~3.3 MPa; 24 h Compressive: ~11.8 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RMP30,30 vol.% / 24.7 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.075 mm",24 h Flexural: ~2.8 MPa; 24 h Compressive: ~10.1 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RFP10,10 vol.% / 8.0 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.045 mm",24 h Flexural: ~3.8 MPa; 24 h Compressive: ~15.2 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RFP20,20 vol.% / 16.1 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.045 mm",24 h Flexural: ~3.4 MPa; 24 h Compressive: ~13.1 MPa
48,Rheological and early hydration of cementitious material containing recycled concrete powders collected from recycled aggregates,RFP30,30 vol.% / 24.1 wt.%,,"Crushing, ball milling (>4.75 mm aggregate up to 7 min), sieved through 0.045 mm",24 h Flexural: ~2.8 MPa; 24 h Compressive: ~10.2 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,Ref,0 wt%,,,Compressive Strength: 54.9 MPa; Flexural Strength: 8.6 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,L - 10%,10 wt%,,Reference limestone filler complying to EN 12620,Compressive Strength: 45.1 MPa; Flexural Strength: 8.1 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,L - 20%,20 wt%,,Reference limestone filler complying to EN 12620,Compressive Strength: 40.8 MPa; Flexural Strength: 7.3 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,L - 30%,30 wt%,,Reference limestone filler complying to EN 12620,Compressive Strength: 33.7 MPa; Flexural Strength: 6.4 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R1 - 10%,10 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 47.2 MPa; Flexural Strength: 8.4 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R1 - 20%,20 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 41.3 MPa; Flexural Strength: 7.6 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R1 - 30%,30 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 34.2 MPa; Flexural Strength: 7.0 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R2 - 10%,10 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 43.4 MPa; Flexural Strength: 7.8 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R2 - 20%,20 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 38.7 MPa; Flexural Strength: 7.1 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R2 - 30%,30 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 31.5 MPa; Flexural Strength: 6.6 MPa
49,Application and Texture of Ground RC as Supplementary Cementitious Material,R3 - 10%,10 wt%,Mechanical Grinding,"Planetary ball mill Pulverisette 6, 600 rpm, 10 min, m=150 g, 1 cycle",Compressive Strength: 44.1 MPa; Flexural Strength: 8.2 MPa
