paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Material Type::Unit,Source Material::Extracted Value,Source Material::Unit,RCF/RCP Processing Method::Extracted Value,RCF/RCP Processing Method::Unit,RCF/RCP Processing Parameters::Extracted Value,RCF/RCP Processing Parameters::Unit,Activation Method::Extracted Value,Activation Method::Unit,Activation Parameters::Extracted Value,Activation Parameters::Unit,Carbonation Conditions::Extracted Value,Carbonation Conditions::Unit,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Extracted Value,Thermal Treatment Duration::Unit,Mechanical Activation Method::Extracted Value,Mechanical Activation Method::Unit,Grinding Duration::Extracted Value,Grinding Duration::Unit,Grinding Speed::Extracted Value,Grinding Speed::Unit,Other Activation Conditions::Extracted Value,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Extracted Value,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Extracted Value,Particle Size Distribution::Unit,d10::Extracted Value,d10::Unit,d50::Extracted Value,d50::Unit,d90::Extracted Value,d90::Unit,Mean Particle Size::Extracted Value,Mean Particle Size::Unit,Specific Surface Area::Extracted Value,Specific Surface Area::Unit,BET Surface Area::Extracted Value,BET Surface Area::Unit,Blaine Fineness::Extracted Value,Blaine Fineness::Unit,Water Absorption Capacity::Extracted Value,Water Absorption Capacity::Unit,Specific Gravity::Extracted Value,Specific Gravity::Unit,Bulk Density::Extracted Value,Bulk Density::Unit,SiO2::Extracted Value,SiO2::Unit,CaO::Extracted Value,CaO::Unit,Al2O3::Extracted Value,Al2O3::Unit,Fe2O3::Extracted Value,Fe2O3::Unit,MgO::Extracted Value,MgO::Unit,SO3::Extracted Value,SO3::Unit,Na2O::Extracted Value,Na2O::Unit,K2O::Extracted Value,K2O::Unit,Loss on Ignition (LOI)::Extracted Value,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Extracted Value,Other Reported Oxides::Unit,XRD Phases::Extracted Value,XRD Phases::Unit,Mineral Composition::Extracted Value,Mineral Composition::Unit,Amorphous Content::Extracted Value,Amorphous Content::Unit,Pozzolanic Reactivity::Extracted Value,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Extracted Value,Pozzolanic Activity Index::Unit,Strength Activity Index::Extracted Value,Strength Activity Index::Unit,Heat Release Data::Extracted Value,Heat Release Data::Unit,Other Reactivity Indicators::Extracted Value,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Extracted Value,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with RCF/RCP::Extracted Value,Optimum Replacement Level of Cement with RCF/RCP::Unit,Compressive Strength::Extracted Value,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Extracted Value,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Extracted Value,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Extracted Value,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Extracted Value,Initial Setting Time::Unit,Final Setting Time::Extracted Value,Final Setting Time::Unit,Flexural Strength::Extracted Value,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Extracted Value,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Extracted Value,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Extracted Value,Relative Shrinkage (% of control if reported)::Unit
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,"Jianzhuang Xiao, Zhiming Ma, Tongbo Sui, Ali Akbarnezhad, Zhenhua Duan",Journal of Cleaner Production,2018,https://doi.org/10.1016/j.jclepro.2018.03.277,Recycled powder (RP),,Construction and demolition (C&D) waste (mixture of waste concrete and brick),,Two-stage process involving crushing followed by fine grinding in a ball mill with cone cavity,,"Total processing time (crushing, sieving, grinding): 3–5 min; Maximum particle size: 45 μm",,,,,,,,,,,,,,,,,,,,0.4 and 0.5,,Detailed distribution listed in Table 1,%,,,9.06,μm,,,Volume mean diameter: 15.24; Area mean diameter: 3.47; Length mean diameter: 0.90,μm,639.6,kg/m²,,,,,Relatively high (exact value not specified),,,,,,~43,%,~15.5,%,~11.5,%,~5,%,~2,%,,,,,,,,,,,"Quartz (SiO₂), Calcium Silicate Hydrate (C-S-H), and Calcium Hydroxide (Ca(OH)₂)",,,,,,Confirmed via strength development over long curing times,,,,,,Accelerates hydration; peak shifts earlier. Cumulative heat is higher up to 30% replacement but lower at 50% after 48h.,,,,"0%, 15%, 30%, 45%",%,15% - 30%,%,"w/b 0.4:
0% RP: ~48.5
15% RP: ~47.3
30% RP: ~44.8
45% RP: ~38.3

w/b 0.5:
0% RP: ~34.0
15% RP: ~36.0
30% RP: ~33.0
45% RP: ~25.4",MPa,"w/b 0.4 (28d):
15% RP: 97.5%
30% RP: 92.3%
45% RP: 78.9%

w/b 0.5 (28d):
15% RP: 105.9%
30% RP: 97.1%
45% RP: 74.7%",%,,,,,,,,,"w/b 0.4 (28d):
0% RP: ~5.60
15% RP: ~5.53
30% RP: ~5.42
45% RP: ~4.46

w/b 0.5 (28d):
0% RP: ~4.40
15% RP: ~4.51
30% RP: ~4.47
45% RP: ~3.78",MPa,"w/b 0.4 (28d):
15% RP: 98.7%
30% RP: 96.8%
45% RP: 79.6%

w/b 0.5 (28d):
15% RP: 102.4%
30% RP: 101.6%
45% RP: 85.9%",%,"Total crack number:
0% RP (w/b 0.5): 4
15% RP (w/b 0.5): 6
30% RP (w/b 0.5): 6
30% RP (w/b 0.4): 3

Mean area per crack:
0% RP (w/b 0.5): ~9.5
15% RP (w/b 0.5): ~47.5
30% RP (w/b 0.5): ~83.5
30% RP (w/b 0.4): ~55.1",mm² for area,"Mean area per crack, crack number per unit area, and total crack area per unit area of RPC-30% (w/b 0.5) are 7.78, 0.50, and 12.17 times higher than RPC-0%.",% / times
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,"Katarzyna Kalinowska-Wichrowska, Marta Kosior-Kazberuk, Edyta Pawluczuk",Materials,2019,10.3390/ma13010064,Recycled cement mortar (RCM) (fine fraction),,"2-year-old laboratory concrete cube specimens (100 × 100 × 100 mm), strength class C30/37",,"Thermo-mechanical treatment (initial crushing, calcination, mechanical processing in a Los Angeles machine, and sieving)",,Mechanical grinding/processing duration: 15 min; Sieving separating fraction: <4 mm (with fraction <250 µm used for composite studies),min / µm,Thermal treatment (calcination) and mechanical processing,,Calcination temperature variation: 288–712 °C; Calcination time variation: 30–90 min,°C / min,,,"288, 350, 500, 650, 712",°C,"30, 40, 60, 80, 90",min,Disintegration in jaw crusher followed by processing in a Los Angeles machine,,15,min,,,,,0.5,Ratio,Dust fraction (<63 µm): ~20%; Fraction <250 µm: ~50% of the whole material; Fraction <4000 µm: ~100%,%,,,~250 (Graph-derived),µm,~2000 (Graph-derived),µm,,,~3000,cm²/g,,,,,,,2.66,g/cm³,,,,,Present (detected qualitatively via XRD and active phase conversion),,,,,,,,,,,,,,~36.5% for Non-calcined; ~26% for Calcined (Graph-derived weight loss at 1100 °C),%,,,"Quartz (Q), Portlandite (P), Calcium silicate hydrate (C), Belite (S), Calcite (K), Ettringite (E), Calcium oxide (O)",,"Non-calcined: Bound water = 10.08%, Ca(OH)₂ = 13.44%, CaCO₃ = 10.44%; Calcined (650 °C): Bound water = 0.24%, Ca(OH)₂ = 0%, CaCO₃ = 25.79%",% of Mass,Non-crystalline dehydrated phases present after calcination,,Confirmed via rehydration and phase analysis,,,,Non-calcined (Series 12): 0.59; Calcined at 350 °C: 0.67; Calcined at 500 °C: 0.80; Calcined at 650 °C (for 60 min): 1.07,Ratio,Maximum accumulated heat over 48 hours: Non-calcined RCM = 40 J/g; Calcined RCM (650 °C for 60 min) = 125 J/g,J/g,Rehydration reactivity verified by heat accumulation curves,,25%,%,25% (Only replacement level evaluated),%,"28-Day Strengths:
Series 1: ~30.0 (Graph-derived)
Series 2: ~32.0 (Graph-derived)
Series 3: ~43.0 (Graph-derived)
Series 4: ~44.0 (Graph-derived)
Series 5: ~29.5 (Graph-derived)
Series 6: ~41.5 (Graph-derived)
Series 7: ~34.0 (Graph-derived)
Series 8: ~38.0 (Graph-derived)
Series 9 & 10 (Center): ~36.2 (Graph-derived)
Series 11 (Control Cement): ~41.0 (Graph-derived)
Series 12 (Control Uncalcined RCM): ~24.0 (Graph-derived)",MPa,"Series 3: 104% (4% higher than control)
Series 4: 107% (7% higher than control)",%,,,Calcined RCM vs Control Cement (CEM I 42.5 R): Decrease of 35% over 48 hours,%,,,,,"28-Day Strengths:
Series 1: ~5.8 (Graph-derived)
Series 2: ~6.1 (Graph-derived)
Series 3: ~7.6 (Graph-derived)
Series 4: ~7.9 (Graph-derived)
Series 5: ~5.9 (Graph-derived)
Series 6: ~7.8 (Graph-derived)
Series 7: ~6.2 (Graph-derived)
Series 8: ~7.0 (Graph-derived)
Series 9 & 10 (Center): ~6.8 (Graph-derived)
Series 11 (Control Cement): ~7.9 (Graph-derived)
Series 12 (Control Uncalcined RCM): ~4.4 (Graph-derived)",MPa,,,,,,
12,Construction and demolition waste as partial cement replacement,"Sabina Rocha, Joana Sousa-Coutinho",Advances in Cement Research,2019,https://doi.org/10.1680/jadcr.16.00132,Ground construction and demolition waste (CDWg),,"Construction and demolition waste consisting mainly of concrete, brick and mortar (Rg >= 90% and Rb <= 10%)",,Crushed and ground,,Grinding duration: 80 h,hours,,,,,,,,,,,,,,,,,,,0.5,,,,1.06,um,5.94,um,29.39,um,10.77,um,,,,,,,,,2.62,g/cm3,,,69.75,% mass,9.62,% mass,6.92,% mass,2.60,% mass,0.51,% mass,0.53,% mass,0.67,% mass,2.42,% mass,6.94,%,"Chlorides: 0.036
Manganese oxide (MnO): 0.04
Phosphorus pentoxide (P2O5): 0.09",% mass,,,,,,,Positive,,,,"28 days: 90% (for CDWg5), 84% (for CDWg10)
90 days: 92% (for CDWg5), 90% (for CDWg10)",%,,,,,5% and 10%,%,5%,%,"For CDWg5:
7 d: 42.1 +/- 0.8
28 d: 49.4 +/- 0.4
90 d: 55.5 +/- 1.8

For CDWg10:
7 d: 37.5 +/- 0.8
28 d: 45.7 +/- 1.7
90 d: 54.1 +/- 1.7",MPa,"For CDWg5:
28 d: 90%
90 d: 92%

For CDWg10:
28 d: 84%
90 d: 90%",%,,,,,"CDWg5: 2 h 49 min
CDWg10: 2 h 31 min",hours/minutes,"CDWg5: 3 h 44 min
CDWg10: 3 h 46 min",hours/minutes,,,,,,,,
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,"Lanzhen Yu, Lili Huang and Hui Ding",Materials,2019,10.3390/ma12223717,Fine Recycled Concrete Aggregates (fine RCA),,"Medium-strength concrete waste from a dam in Yongjiang River in Ningbo, China",,"Crushing, comminution by an impact crusher, magnetic separation, and sieving by a double-deck screen",,,,,,,,,,,,,,,,,,,,Pre-wetted to a saturated surface dry condition,,0.18,,,,,,,,,,,,,,,,,,6.24,%,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N100R0: 177.13
N80R20: 179.78
N60R40: 184.26
N40R60: 180.32
N20R80: 177.30
N0R100: 173.05",MPa,N60R40: 4.02% higher than control,%,,,,,,,,,"N100R0: 17.70
N80R20: 18.66
N60R40: 19.26
N40R60: 19.97
N20R80: 17.31
N0R100: 16.46",MPa,N40R60: 12.82% higher than control,%,"N100R0: 546.14
N40R60: 461.06",µm/m,N40R60: 15.58% lower than control,%
14,Investigation of recycled powder as supplementary cementitious material,"Peng Zhu, XinQi Mao, Wenjun Qu",Magazine of Concrete Research,2019,https://doi.org/10.1680/jmacr.18.00513,Recycled powder (hybrid recycled powder),,Clay brick and concrete waste,,"Smashing, grinding, drying and grading",,Ratio of bricks to concrete in raw materials is about 7 : 3,,Chemical activation,,"Sodium hydroxide (NaOH), calcium oxide (CaO), and anhydrous sodium sulfate (Na2SO4) used at varying dosages relative to recycled powder mass",,,,,,,,,,,,,,NaOH and anhydrous sodium sulfate dissolved in water; CaO added into cement before mixing,,0.5,,,,,,11–18,μm,,,,,0.817,m²/g,,,,,Ratio of water demand is 105%,%,2.60,g/cm³,,,46.90,%,19.3,%,11.70,%,5.62,%,2.17,%,1.49,%,0.84,%,2.30,%,5.9,%,Fineness: 6.77,%,"gismondine, illite, α-quartz, anorthite, limestone, rutile",,,,,,Points are below the curve of calcium ion saturation concentration (Has pozzolanic activity),,,,71.3,%,,,"Weight loss due to calcium hydroxide decomposition (TGA) at 3 d: 1.34%, 7 d: 1.61%, 28 d: 2.56%",%,30,%,,,45.4 (at 28 d for RP mix without activators),MPa,71.3,%,,,,,,,,,,,,,,,,
15,Thermal Performance of Concrete with Recycled Concrete Powder as Partial Cement Replacement and Recycled CDW Aggregate,"Blas Cantero, Miguel Bravo, Jorge de Brito, Isabel Fuencisla Sáez del Bosque, César Medina",Applied Sciences,2020,10.3390/app10134540,Ground Recycled Concrete (GRC),,Laboratory-prepared concrete specimens batched as per the Faury method,,Crushing and grinding,,Maximum size of 147 um,,,,,,,,,,,,,,,,,,,,"0.56, 0.58, 0.60, 0.59, 0.61, 0.63",,,,,,,,,,,,,,,,,,,,,,2.54,g/cm3,46.10,wt%,40.0,wt%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low reactivity,,"10, 25",wt%,,,"42.8 ± 1.1 (NAC)
34.8 ± 1.4 (R10/0)
26.5 ± 0.9 (R25/0)
28.5 ± 1.2 (R0/50)
26.9 ± 1.4 (R10/50)
18.3 ± 0.9 (R25/50)",MPa,"100 (NAC)
81.3 (R10/0)
61.9 (R25/0)
66.6 (R0/50)
62.9 (R10/50)
42.8 (R25/50)",%,,,,,"90 (RB10)
91 (RB25)",min,"138 (RB10)
141 (RB25)",min,,,,,,,,
16,Mechanical behaviour of structural concrete with ground recycled concrete cement and mixed recycled aggregate,"B. Cantero, M. Bravo, J. de Brito, I.F. Saez del Bosque, C. Medina",Journal of Cleaner Production,2020,10.1016/j.jclepro.2020.122913,Ground Recycled Concrete (GRC),,Laboratory-prepared concrete specimens,,"Jaw crushing, roll crushing, and ball-grinding",,Jaw crushed to <16 m; roll crushed to <5 mm; ball-grinding at 60 rpm and a milling load of 56 kg per 20 kg of material for 2 h,,,,,,,,,,,,,,2,h,60,rpm,,,"0.56 (NAC), 0.58 (N10/0), 0.60 (N25/0), 0.59 (RA-CDW), 0.61 (R10/50), 0.63 (R25/50)",,D90 is 147 mm,mm,<10,mm,,,147,mm,,,,,,,,,,,2.54,g/cm³,,,46.10,wt%,40.00,wt%,3.80,wt%,1.50,wt%,0.50,wt%,0.40,wt%,0.30,wt%,1.20,wt%,6.20,wt%,,,"quartz, calcite, feldspars, muscovite, plagioclase, alite, belite",,,,,,,,,,Complies with class 42.5 R cement requirements,,,,,,"10, 25",%,10,%,"46.6 ± 1.2 (NAC), 37.8 ± 1.4 (N10/0), 27.7 ± 0.9 (N25/0), 34.8 ± 1.2 (R0/50), 32.8 ± 1.4 (R10/50), 23.3 ± 0.9 (R25/50)",MPa,,,,,,,"90 (RC10), 91 (RC25)",min,,,,,,,,,,
17,Mortars with thermo activated recycled cement: Fresh and mechanical characterisation,"Ana Carriço, Sofia Real, José Alexandre Bogas, Manuel Francisco Costa Pereira",Construction and Building Materials,2020,https://doi.org/10.1016/j.conbuildmat.2020.119502,Thermo activated recycled cement (TRC) / Recycled cement (RC),,Origin paste (OP) produced with CEM I 42.5R,,"Crushing, rolling, ball milling, and sieving",,Sieved into two fractions: under 125 μm (coarse powder - CP) and under 45 μm (fine powder - FP); ground for 2 h,,Thermal activation,,Heating rate: 20 °C/min,,,,"400, 500, 600, 700, 800, 900",°C,5,h,,,,,,,Cooled inside the oven until ambient temperature,,"0.40, 0.50, 0.56, 0.58, 0.67, 0.70, 0.72, 0.76, 0.77",,Graphically reported in Fig. 4,,,,,,,,< 125 (for CP); < 45 (for FP),μm,,,,,,,,,,,924 (for FP400); 898 (for FP500); 864 (for FP600); 843 (for FP700); 821 (for FP800); 814 (for FP900),kg/m³,,,12.5 (at 500 °C); 13.9 (at 600 °C); 15.7 (at 700 °C); 18.7 (at 800 °C); 19.4 (at 900 °C),%,,,,,,,,,,,,,,,,,"Calcite, free CaO (Calcia), C2S (Larnite / structure similar to α'L-C2S / structure closer to larnite), CH (Portlandite)",,"CH content upon contact with water: 16.5% (500 °C), 18.4% (600 °C), 20.8% (700 °C), 24.7% (800 °C), 25.6% (900 °C)",%,,,,,,,,,Cumulative heat release at 7 days for CP700 is approximately 46% lower than OPC (or OPC is 46% higher than TRC),,"29Si NMR spectrum shows Q0 peaks (dehydrated) and Q0, Q1, Q2 peaks after 1-day rehydration",,"20, 50, 100",%,up to 20 (for minimal strength impact); up to 50 (as a maximum viable mineral admixture replacement),%,"3-Day: 33.2 (MA20), 18.1 (MA50), 3.4 (MA100), 22.1 (MC20), 23.8 (MC50), 16.4 (MC100), 46.1 (MD20), 35.2 (MD50), 0.6 (MFP400), 4.6 (MFP500), 15.3 (MFP600), 4.9 (MFP700), 5.6 (MFP800), 5.1 (MFP900) 
7-Day: 48.1 (MA20), 33.0 (MA50), 6.0 (MA100), 32.2 (MC20), 29.4 (MC50), 21.6 (MC100), 61.7 (MD20), 49.1 (MD50) 
28-Day: 59.7 (MA20), 47.1 (MA50), 23.1 (MA100), 45.6 (MC20), 39.7 (MC50), 27.1 (MC100), 74.9 (MD20), 66.9 (MD50), 1.2 (MFP400), 9.3 (MFP500), 21.6 (MFP600), 15.9 (MFP700), 26.4 (MFP800), 24.6 (MFP900) 
90-Day: 71.3 (MA20), 56.3 (MA50), 30.4 (MA100)",MPa,"MA Mortars at 28 days: 20% incorporation = 92% of control; 50% incorporation = 72% of control; 100% incorporation = 36% of control 
MC/MD Mortars at 28 days: 100% TRC = 53% of control; MD20 = reduction of 2%; MD50 = reduction of 12%; MC20 = reduction of 11%; MC50 = reduction of 23%",%,,,"At 24 h: OPC was 42% higher than TRC 
At 7 days: OPC was 46% higher than TRC",%,145 (TRC1/20% CP700); 125 (TRC2/50% CP700); 15 (TRC3/100% CP700); 35 (TRC4/100% FP600); 125 (TRC5/100% FP700); 275 (TRC6/100% FP800); 290 (TRC7/100% FP900),min,210 (TRC1/20% CP700); 180 (TRC2/50% CP700); 32 (TRC3/100% CP700); 200 (TRC4/100% FP600); 170 (TRC5/100% FP700); 390 (TRC6/100% FP800); 405 (TRC7/100% FP900),min,"3-Day: 6.1 (MA20), 3.3 (MA50), 1.3 (MA100), 4.9 (MC20), 4.5 (MC50), 3.7 (MC100), 8.7 (MD20), 6.3 (MD50), 0.3 (MFP400), 1.5 (MFP500), 3.4 (MFP600), 1.7 (MFP700), 1.7 (MFP800), 1.1 (MFP900) 
7-Day: 7.6 (MA20), 5.6 (MA50), 2.1 (MA100), 7.5 (MC20), 6.0 (MC50), 4.3 (MC100), 9.6 (MD20), 8.7 (MD50) 
28-Day: 8.4 (MA20), 8.2 (MA50), 5.0 (MA100), 8.2 (MC20), 7.8 (MC50), 6.2 (MC100), 10.7 (MD20), 9.2 (MD50), 0.6 (MFP400), 2.6 (MFP500), 4.6 (MFP600), 4.0 (MFP700), 6.3 (MFP800), 4.0 (MFP900) 
90-Day: 9.6 (MA20), 9.3 (MA50), 5.9 (MA100)",MPa,,,,,,
18,Strength enhancement of artificial aggregate prepared with waste concrete powder and its impact on concrete properties,"Yi Jiang, Tung-Chai Ling, Minjiao Shi",Journal of Cleaner Production,2020,https://doi.org/10.1016/j.jclepro.2020.120515,Waste concrete powder (WCP),,Crushed waste concrete,,Cold-bonding pelletization,,Revolution speed: 40; Tilting angle: 45; Liquid to solid (L/S) ratio: 0.24,rpm; °; NULL,Combined chemical activation and CO2 curing,,Slag dosage: 5% to 20%; Ca(OH)2 dosage: 1% to 6%,wt.%; wt.%,CO2 concentration: 20%; Temperature: 20 °C; Relative humidity: 65%,%; °C; %,,,,,Grinding and sieving,,,,,,Natural air curing temperature: 20 ± 2 °C; Relative humidity: 60 ± 5%,°C; %,,,Passing 150 mm sieves,µm,1.8,µm,22.4,µm,158.9,µm,22.4,µm,,,3.55,m²/g,,,,,,,,,51.8,wt.%,22.8,wt.%,13.6,wt.%,5.6,wt.%,1.4,wt.%,0.8,wt.%,e (NULL),,2.6,wt.%,e (NULL),,TiO2: 0.7; Others: 0.7,wt.%; wt.%,"Quartz, ettringite, belite, calcite, calcium silicate hydroxide",,,,,,Poor reactivity,,,,,,,,,,100% replacement of natural coarse aggregate,%,,,"Concrete S2 (C10G20CH3):
3d: 14.9 ± 1.4
7d: 19.8 ± 1.0
28d: 27.8 ± 1.3

Concrete S3 (C20G20CH3):
3d: 16.6 ± 0.9
7d: 21.4 ± 1.6
28d: 31.8 ± 1.1",MPa,"Concrete S2: Decreased by 36.0%
Concrete S3: Decreased by 26.9%",%,,,,,,,,,"Concrete S2 (C10G20CH3):
3d: 2.1 ± 0.3
7d: 2.5 ± 0.3
28d: 3.0 ± 0.2

Concrete S3 (C20G20CH3):
3d: 2.5 ± 0.4
7d: 2.6 ± 0.3
28d: 3.2 ± 0.2",MPa,Decreased by 7–12%,%,"Concrete S2 (60d): ~77 × 10⁻⁵
Concrete S3 (60d): ~72 × 10⁻⁵",Strain,"Concrete S2: 47% higher than S1
Concrete S3: 38% higher than S1",%
19,Use of concrete fine fraction waste as a replacement of Portland cement,"Thays C.F. Oliveira, Bianca G.S. Dezen, Edna Possan",Journal of Cleaner Production,2020,https://doi.org/10.1016/j.jclepro.2020.123126,Concrete Waste (CW) / fine fraction of concrete waste,,Concrete specimens,,"Mechanical treatment (fragmentation, comminution, and sifting)",,"Sifted in sieves mesh #100 (0.149 mm), #200 (0.075 mm), and #325 (0.044 mm)",mm,,,,,,,,,,,,,,,,,,,"0.48 (for mortars); 0.55 (for concretes, reported as W/C)",,Diameter below 0.15 mm,mm,,,,,,,90.53 (RC1); 34.16 (RC2); 22.77 (RC3); 36.03 (RC4),um,,,,,735.67 (RC1); 1052.13 (RC2); 2825.63 (RC3); 1732.30 (RC4),cm2/g,,,2.52 (RC1); 2.58 (RC2); 2.72 (RC3); 2.57 (RC4),g/cm3,2.52 (RC1); 2.58 (RC2); 2.72 (RC3); 2.57 (RC4),g/cm3,38.8 (RC1); 38.2 (RC2); 38.0 (RC3); 38.5 (RC4),%,23.7 (RC1); 21.1 (RC2); 21.5 (RC3); 22.0 (RC4),%,8.0 (RC1); 9.7 (RC2); 10.2 (RC3); 9.5 (RC4),%,12.5 (RC1); 14.2 (RC2); 13.7 (RC3); 13.5 (RC4),%,2.8 (RC1); 2.8 (RC2); 2.9 (RC3); 3.0 (RC4),%,1.1 (RC1); 0.9 (RC2); 1.0 (RC3); 1.0 (RC4),%,1.8 (RC1); 1.7 (RC2); 1.8 (RC3); 1.8 (RC4),%,1.1 (RC1); 1.2 (RC2); 1.2 (RC3); 1.2 (RC4),%,8.3 (RC1); 7.8 (RC2); 7.2 (RC3); 7.3 (RC4),%,TiO2: 1.2 (RC1); 1.6 (RC2); 1.8 (RC3); 1.4 (RC4),%,"Quartz, Calcite, Portlandite, Goethite",,,,,,Chemically inert (without pozzolanicity),,54.14 (RC1); 66.41 (RC2); 74.79 (RC3); 66.18 (RC4),%,,,,,,,"Mortars: 0%, 15%, 25%, 50%; Concretes: 0%, 15%, 25%",%,Up to 25%,%,"Mortars (28 days):
• RC2 (15%): ~32 
• RC2 (25%): ~28 
• RC3 (15%): ~31 
• RC3 (25%): ~25.5 
• RC4 (15%): ~34 
• RC4 (25%): ~29 
Mortars (RC4 over time):
• 15% (7d): ~27; (28d): ~34; (91d): ~33.5 
• 25% (7d): ~24.8; (28d): ~29; (91d): ~32 
• 50% (7d): ~10.5; (28d): ~15.8; (91d): ~16.5 
Concretes (28d / 91d):
• 0% (28d): ~40; (91d): ~45.5 
• 15% (28d): ~34.5; (91d): ~38.2 
• 25% (28d): ~31.5; (91d): ~36.5",MPa,,%,,,,,,,,,,,,,,,,
20,"Surface characterization of carbonated recycled concrete fines and its effect on the rheology, hydration and strength development of cement paste","Xiaowei Ouyang, Liquan Wang, Shida Xu, Yuwei Ma, Guang Ye",Cement and Concrete Composites,2020,10.1016/j.cemconcomp.2020.103809,Recycled cement paste powder (RP) and Carbonated recycled cement paste powder (CRP),,Crushed cement paste specimens after hydration for 120 days,,Grinding,,Grinding of crushed cement paste specimens after hydration for 120 days,,Accelerated Carbonation Treatment,,"Temperature: 20±2°C, Relative humidity: 70±5%, CO2 concentration: 20±3%, Pressure: 0.1 MPa, Duration: 12 days",,"Temperature: 20±2°C, Relative humidity: 70±5%, CO2 concentration: 20±3%, Pressure: 0.1 MPa",,,,,,,,,,,,,,0.4,,Plotted as cumulative and volume distributions in Figure 1,,,,CRP: 55.41; CR (RP): 22.23,µm,,,,,CRP: 0.56; CR (RP): 0.86,m²/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH (Calcium Hydroxide): 12.46 (RP), 4.03 (CRP); CaCO3 (Calcium Carbonate): 8.30 (RP), 52.30 (CRP)",wt%,"RP: CH, ettringite (AFt), C2S, C3S; CRP: CaCO3",,"RP: 12.46% CH, 8.30% CaCO3; CRP: 4.03% CH, 52.30% CaCO3",wt%,Amorphous silica gel layer covers CRP surface,,Silica gel on the surface of CRP reacts with CH,,,,,,,,Zeta potential curves as a function of Ca2+ concentration,mV,"30, 40",%,,,,,,,,,,,,,,,,,,,,,,
